City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tolanaro,-25.0319,46.9987,295.19,73,20,9.26,MG,1718735367
1,kalabo,-14.97,22.6814,291.1,34,0,1.95,ZM,1718735367
2,atafu village,-8.5421,-172.5159,302.41,72,98,6.26,TK,1718735368
3,praia da vitoria,38.7333,-27.0667,294.29,64,40,4.22,PT,1718735257
4,richards bay,-28.783,32.0377,292.78,74,0,2.53,ZA,1718735369
5,adamstown,-25.066,-130.1015,295.77,85,100,11.07,PN,1718735369
6,tomatlan,19.9333,-105.25,304.02,55,81,4.8,MX,1718735370
7,dakhla,23.6848,-15.958,295.16,73,100,14.92,EH,1718735170
8,port-aux-francais,-49.35,70.2167,275.68,81,95,10.17,TF,1718735371
9,edinburgh of the seven seas,-37.0676,-12.3116,287.34,78,100,7.14,SH,1718735371
10,yellowknife,62.456,-114.3525,292.44,40,20,5.14,CA,1718735372
11,anadyr,64.75,177.4833,282.43,76,40,6.0,RU,1718735373
12,kailua-kona,19.6406,-155.9956,300.13,85,40,3.09,US,1718735373
13,rewa,24.5333,81.3,305.41,48,99,5.78,IN,1718735374
14,polyarnyy,69.1989,33.4478,289.09,75,100,3.24,RU,1718735375
15,borzya,50.3833,116.5167,288.15,75,84,6.94,RU,1718735375
16,puerto natales,-51.7236,-72.4875,270.4,74,20,1.54,CL,1718735376
17,sisimiut,66.9395,-53.6735,277.24,92,100,2.2,GL,1718735376
18,ribeira grande,38.5167,-28.7,294.37,60,75,3.6,PT,1718735377
19,longyearbyen,78.2186,15.6401,283.06,46,0,3.6,SJ,1718735377
20,la'ie,21.6477,-157.9253,298.21,78,72,4.02,US,1718735378
21,vernon,50.2581,-119.2691,291.44,58,88,2.68,CA,1718735378
22,sao joao da barra,-21.6403,-41.0511,302.2,62,17,4.66,BR,1718735378
23,caraballeda,10.6112,-66.8522,306.69,64,97,2.36,VE,1718735379
24,ikalamavony,-21.15,46.5833,291.05,73,46,2.3,MG,1718735379
25,linxia chengguanzhen,35.6003,103.2064,287.46,76,100,0.85,CN,1718735380
26,olyokminsk,60.3736,120.4264,280.39,81,73,1.85,RU,1718735380
27,waitangi,-43.9535,-176.5597,280.83,86,100,0.45,NZ,1718735381
28,happy valley-goose bay,53.3168,-60.3315,297.32,23,75,7.72,CA,1718735382
29,avarua,-21.2078,-159.775,294.18,78,75,1.54,CK,1718735382
30,bethel,41.3712,-73.414,307.23,64,0,5.14,US,1718735157
31,jamestown,42.097,-79.2353,303.95,62,75,2.57,US,1718735267
32,ushuaia,-54.8,-68.3,271.96,74,40,3.6,AR,1718735154
33,college,64.8569,-147.8028,295.12,55,20,2.57,US,1718735384
34,grand baie,-20.0182,57.5802,296.41,84,6,7.71,MU,1718735384
35,margaret river,-33.95,115.0667,286.05,68,100,3.86,AU,1718735385
36,viveiro,43.6623,-7.5934,290.42,92,100,3.09,ES,1718735385
37,sabang,5.8933,95.3214,302.54,75,100,9.16,ID,1718735386
38,udenhout,51.612,5.141,289.76,98,100,2.06,NL,1718735386
39,susuman,62.7833,148.1667,282.17,88,100,2.22,RU,1718735387
40,el porvenir,13.7617,-87.3458,299.78,97,100,1.5,HN,1718735387
41,west island,-12.1568,96.8225,301.14,89,75,6.17,CC,1718735387
42,blackmans bay,-43.0167,147.3167,279.11,92,99,2.58,AU,1718735388
43,fort st. john,56.2499,-120.8529,288.09,51,40,2.57,CA,1718735388
44,kodiak,57.79,-152.4072,281.88,81,100,3.6,US,1718735389
45,la puebla de montalban,39.863,-4.3592,295.66,50,97,8.02,ES,1718735389
46,karibib,-21.9333,15.8333,289.56,25,1,2.55,NA,1718735390
47,aasiaat,68.7098,-52.8699,275.02,97,100,3.67,GL,1718735390
48,port mathurin,-19.6833,63.4167,296.68,81,12,7.61,MU,1718735391
49,hawaiian paradise park,19.5933,-154.9731,296.88,96,20,1.54,US,1718735391
50,proszowice,50.1927,20.2891,300.25,87,75,2.72,PL,1718735392
51,baltatesti,47.1167,26.3,294.53,83,52,0.66,RO,1718735392
52,ta`u,-14.2336,-169.5144,300.98,74,36,7.13,AS,1718735392
53,panacan,9.2463,118.4082,300.16,81,99,1.55,PH,1718735393
54,dudinka,69.4058,86.1778,271.33,83,80,5.15,RU,1718735393
55,vlore,40.4667,19.4897,299.06,65,0,3.61,AL,1718735387
56,ilulissat,69.2167,-51.1,279.16,70,75,2.57,GL,1718735394
57,enewetak,11.3474,162.3373,300.98,81,58,7.12,MH,1718735395
58,grytviken,-54.2811,-36.5092,266.73,66,39,4.96,GS,1718735395
59,iqaluit,63.7506,-68.5145,277.0,75,75,2.57,CA,1718735396
60,tarawa,1.419,172.984,302.15,73,29,7.02,KI,1718735396
61,invercargill,-46.4,168.35,278.16,82,19,4.02,NZ,1718735397
62,tralee,52.2704,-9.7026,286.62,72,100,4.68,IE,1718735397
63,fougamou,-1.2154,10.5838,299.55,77,96,0.96,GA,1718735398
64,east london,-33.0153,27.9116,288.67,72,0,3.09,ZA,1718735347
65,mount isa,-20.7333,139.5,280.02,76,0,0.0,AU,1718735398
66,coahuayana de hidalgo,18.7,-103.6583,302.82,64,48,4.09,MX,1718735399
67,palikir - national government center,6.9248,158.1611,297.56,94,75,1.54,FM,1718735400
68,jalai nur,49.45,117.7,289.57,71,100,7.88,CN,1718735400
69,aguas belas,-9.1114,-37.1231,297.33,65,96,5.57,BR,1718735401
70,saint-philippe,-21.3585,55.7679,292.92,79,75,4.63,RE,1718735401
71,murray bridge,-35.1167,139.2667,283.89,77,100,2.89,AU,1718735403
72,albany,42.6001,-73.9662,308.11,55,26,1.34,US,1718735197
73,rio grande,-32.035,-52.0986,296.21,86,63,2.51,BR,1718735392
74,coremas,-7.0144,-37.9458,307.61,25,18,5.37,BR,1718735405
75,tawau,4.2498,117.8871,299.22,85,38,2.59,MY,1718735407
76,castillos,-34.1667,-53.8333,289.48,95,100,1.93,UY,1718735407
77,fortuna,40.5982,-124.1573,292.55,75,20,4.63,US,1718735408
78,cabo san lucas,22.8909,-109.9124,305.16,45,0,2.57,MX,1718735408
79,codrington,-38.2667,141.9667,276.22,88,7,3.13,AU,1718735409
80,mossel bay,-34.1831,22.146,290.11,67,100,2.76,ZA,1718735409
81,skeldon,5.8833,-57.1333,302.15,72,33,3.52,GY,1718735410
82,ust-nera,64.5667,143.2,285.23,81,100,1.52,RU,1718735410
83,pachino,36.7186,15.0907,296.83,71,0,1.31,IT,1718735411
84,isafjordur,66.0755,-23.124,282.17,66,100,1.54,IS,1718735411
85,gisborne,-38.6533,178.0042,285.11,76,100,6.71,NZ,1718735412
86,angarsk,52.5367,103.8864,285.55,94,68,2.07,RU,1718735412
87,egilsstadir,65.2653,-14.3948,279.1,75,100,4.63,IS,1718735412
88,aripuana,-9.1667,-60.6333,309.19,25,0,1.14,BR,1718735413
89,waat,51.1454,6.4958,291.15,97,100,3.09,DE,1718735413
90,santo domingo petapa,16.8181,-95.1403,297.85,90,100,2.58,MX,1718735414
91,stanley,54.868,-1.6985,286.92,78,40,3.6,GB,1718735140
92,puerto ayora,-0.7393,-90.3518,297.13,95,100,2.68,EC,1718735415
93,springfield,37.2153,-93.2982,303.61,66,40,9.26,US,1718735310
94,picos,-7.0769,-41.4669,307.95,28,43,3.21,BR,1718735343
95,acarau,-2.8856,-40.12,300.99,75,14,7.11,BR,1718735417
96,sima,53.9202,102.0442,288.72,94,64,0.99,RU,1718735417
97,mugia,43.1041,-9.2179,289.21,80,21,1.73,ES,1718735418
98,lemvig,56.5486,8.3102,287.15,85,82,4.83,DK,1718735419
99,tura,25.5198,90.2201,296.58,98,100,2.41,IN,1718735419
100,saipan,15.1355,145.701,300.54,83,40,3.09,MP,1718735420
101,mbandaka,0.0487,18.2603,297.38,74,14,0.51,CD,1718735420
102,mejit,10.2753,170.8646,301.07,77,20,7.21,MH,1718735421
103,ulsteinvik,62.3432,5.8487,286.66,94,100,2.34,NO,1718735421
104,howard springs,-12.497,131.047,292.1,85,14,1.47,AU,1718735422
105,arraial do cabo,-22.9661,-42.0278,302.13,50,0,3.09,BR,1718735422
106,lagoa,39.05,-27.9833,291.39,64,65,4.82,PT,1718735423
107,afaahiti,-17.75,-149.2833,297.08,65,3,8.02,PF,1718735424
108,uturoa,-16.7333,-151.4333,297.9,64,4,7.17,PF,1718735425
109,saudarkrokur,65.7461,-19.6394,279.98,92,100,1.63,IS,1718735425
110,carovigno,40.708,17.655,303.6,51,0,3.14,IT,1718735426
111,aykhal,66.0,111.5,281.19,64,19,1.63,RU,1718735426
112,santa luzia,-19.7697,-43.8514,300.34,38,20,2.06,BR,1718735293
113,georgetown,5.4112,100.3354,301.11,82,20,1.54,MY,1718735174
114,santo antonio do ica,-3.1022,-67.9397,305.41,52,8,1.09,BR,1718735428
115,tidjikja,18.5564,-11.4271,310.52,24,88,3.1,MR,1718735428
116,geraldton,-28.7667,114.6,285.38,87,45,3.6,AU,1718735285
117,rongelap,11.1635,166.8941,301.4,78,98,7.54,MH,1718735429
118,kapuskasing,49.4169,-82.4331,303.2,58,40,6.17,CA,1718735430
119,togur,58.3631,82.8265,281.35,84,90,7.71,RU,1718735430
120,cromwell,41.5951,-72.6454,307.49,61,0,6.17,US,1718735431
121,tiksi,71.6872,128.8694,276.43,88,86,0.68,RU,1718735431
122,papatowai,-46.5619,169.4708,280.06,77,5,8.01,NZ,1718735432
123,laguna,38.421,-121.4238,302.89,25,0,2.57,US,1718735432
124,taroa,8.7058,171.2275,300.89,81,99,7.19,MH,1718735433
125,natal,-5.795,-35.2094,302.51,61,75,8.23,BR,1718735345
126,constantia,44.1833,28.65,296.53,70,81,3.96,RO,1718735434
127,weno,7.4515,151.8468,301.03,76,98,4.08,FM,1718735434
128,bonthe,7.5264,-12.505,298.15,86,100,1.37,SL,1718735435
129,yigo village,13.5361,144.8886,300.31,86,75,4.63,GU,1718735435
130,tazovsky,67.4667,78.7,272.03,83,36,8.38,RU,1718735436
131,punta arenas,-53.15,-70.9167,274.21,60,40,8.75,CL,1718735227
132,assab,13.0092,42.7394,305.51,60,21,6.57,ER,1718735438
133,al bayda,32.7627,21.7551,294.26,59,0,1.59,LY,1718735438
134,nakamura,32.9833,132.9333,291.05,95,16,1.64,JP,1718735146
135,thompson,55.7435,-97.8558,287.24,47,75,7.2,CA,1718735439
